Color,Rmin,Rmax,Gmin,Gmax,Bmin,Bmax,rMin,rMax,gMin,gMax,bMin,bMax
Gray3Brown2Pink2,225,227,159,164,134,139,0.428,0.434,0.307,0.309,0.259,0.262
Gray6Brown7Pink1,173,179,97,100,81,85,0.492,0.493,0.275,0.276,0.231,0.234
Gray5Brown5Pink2,190,198,102,107,86,96,0.487,0.504,0.266,0.274,0.227,0.24
Gray7Brown7Pink2,152,161,99,109,88,97,0.437,0.449,0.291,0.298,0.258,0.265
Gray7Brown4Pink2,179,183,140,143,130,132,0.399,0.4,0.312,0.312,0.288,0.29
Gray7Brown7Pink2,155,158,113,117,97,100,0.421,0.425,0.31,0.312,0.266,0.267
Gray7Brown7Pink2,155,157,111,114,97,100,0.423,0.427,0.306,0.308,0.266,0.27
Gray7Brown6Pink2,157,161,114,121,100,104,0.417,0.423,0.307,0.313,0.269,0.27
Gray6Brown6Pink2,177,182,120,124,101,105,0.443,0.445,0.302,0.302,0.254,0.255
Gray6Brown5Pink2,181,183,124,126,102,105,0.442,0.445,0.304,0.305,0.251,0.254
Gray6Brown6Pink2,177,180,120,122,98,101,0.447,0.448,0.303,0.305,0.246,0.251
Gray6Brown10Pink1,128,132,77,80,60,63,0.478,0.483,0.291,0.292,0.226,0.23
Gray7Brown9Pink1,138,143,92,96,73,78,0.451,0.303,0.241,0.455,0.304,0.246
Gray7Brown4Pink5,151,153,94,96,85,87,0.455,0.458,0.285,0.286,0.258,0.259
Gray7Brown8Pink2,144,149,88,95,79,89,0.443,0.467,0.275,0.294,0.249,0.274
Gray6Brown10Pink1,134,139,70,78,59,66,0.478,0.5,0.271,0.285,0.229,0.237
Gray7Brown5Pink1,185,193,148,156,130,139,0.395,0.4,0.32,0.32,0.281,0.285
Gray6Brown5Pink1,189,193,146,151,132,135,0.403,0.405,0.313,0.315,0.282,0.283
Gray7Brown5Pink2,178,181,134,136,118,120,0.411,0.415,0.31,0.313,0.274,0.276
Gray2Brown2Pink2,238,240,159,161,128,130,0.452,0.454,0.302,0.304,0.243,0.245
Gray3Brown2Pink3,230,232,149,151,118,120,0.459,0.465,0.299,0.301,0.236,0.24
Gray3Brown2Pink3,226,228,145,147,116,118,0.46,0.466,0.297,0.299,0.237,0.24
Gray4Brown2Pink3,219,221,141,143,115,117,0.457,0.463,0.296,0.299,0.241,0.244
Gray7Brown4Pink1,194,202,165,174,157,162,0.372,0.385,0.315,0.326,0.3,0.303
Gray8Brown5Pink1,172,174,143,145,135,137,0.379,0.385,0.316,0.319,0.299,0.302
Gray8Brown5Pink1,175,177,145,147,137,139,0.38,0.386,0.316,0.319,0.298,0.302
Gray7Brown3Pink1,189,194,161,166,154,160,0.373,0.375,0.319,0.32,0.306,0.308
Gray6Brown11Pink1,120,122,62,64,55,57,0.498,0.51,0.259,0.266,0.23,0.237
Gray5Brown3Pink2,210,211,165,168,144,147,0.4,0.406,0.317,0.32,0.277,0.28
Gray6Brown5Pink1,198,201,153,156,130,135,0.409,0.412,0.317,0.318,0.27,0.274
Gray8Brown6Pink2,150,152,108,110,109,111,0.404,0.412,0.293,0.296,0.295,0.299
Gray7Brown6Pink1,170,173,127,130,113,114,0.414,0.415,0.308,0.312,0.273,0.277
Gray7Brown6Pink2,165,167,124,126,114,116,0.407,0.411,0.307,0.309,0.282,0.284
Gray7Brown4Pink3,171,174,130,134,122,126,0.4,0.404,0.307,0.309,0.288,0.291
